nx,ny
267,1411
268,1411
354,2288
359,2311
360,1356
360,2311
372,1406
394,1525
400,2110
403,2287
412,2170
431,2009
431,1437
438,1718
442,1692
446,2244
447,1472
464,1716
484,2173
491,1881
491,1880
555,1599
570,1514
577,1397
606,1482
624,1989
642,1523
661,1628
661,1629
691,2080
696,1762
751,1918
752,1918
752,1829
765,1766
792,1911
839,1921
853,1876
854,1876
872,1583
1015,2203
1035,2080
1036,2080
1187,1067
1404,1142
1405,1142
1431,859
1452,820
2076,2553
2105,2522
2106,2522
1470,768
1471,768
441,1502
592,1377
695,1811
338,1356
415,1714
243,1423
414,2011
592,1378
592,2540
613,1605
431,1293
2734,775
536,1769
366,2068
587,1216
764,1754
506,1846
420,2190
569,1592
514,1814
368,1402
909,1713
